0	0	0	0
1	0	0	0
2	0	0	0
3	0	0	0
4	0	0	0
5	0	0	0
6	0	0	0
7	0	0	0
8	0	0	0
9	0	0	0
10	0	0	0
11	0	0	0
12	0	0	0
13	0	0	0
14	0	0	0
15	0	0	0
16	0	0	0
17	0	0	0
18	0	0	0
19	0	0	0
20	0	0	0
21	0	0	0
22	0	0	0
23	0	0	0
24	0	0	0
25	0	0	0
26	0	0	0
27	0	0	0
28	0	0	0
29	0	0	0
30	0	0	0
31	0	0	0
32	0	0	0
33	1	1	1
34	5	5	5
35	8	8	8
36	9	9	9
37	10	10	10
38	11	11	11
39	12	12	12
40	13	13	13
41	15	15	15
42	17	17	17
43	20	20	20
44	23	23	23
45	26	26	26
46	29	29	29
47	32	32	32
48	35	35	35
49	37	37	37
50	40	40	40
51	43	43	43
52	45	45	45
53	48	48	48
54	50	50	50
55	52	52	52
56	54	54	54
57	56	56	56
58	58	58	58
59	60	60	60
60	61	61	61
61	62	62	62
62	64	64	64
63	65	65	65
64	66	66	66
65	67	67	67
66	69	69	69
67	70	70	70
68	71	71	71
69	72	72	72
70	73	73	73
71	74	74	74
72	75	75	75
73	75	75	75
74	77	77	77
75	78	78	78
76	79	79	79
77	79	79	79
78	80	80	80
79	81	81	81
80	82	82	82
81	83	83	83
82	84	84	84
83	85	85	85
84	85	85	85
85	86	86	86
86	87	87	87
87	88	88	88
88	89	89	89
89	90	90	90
90	91	91	91
91	92	92	92
92	93	93	93
93	94	94	94
94	95	95	95
95	96	96	96
96	96	96	96
97	97	97	97
98	98	98	98
99	99	99	99
100	100	100	100
101	101	101	101
102	102	102	102
103	103	103	103
104	104	104	104
105	105	105	105
106	106	106	106
107	107	107	107
108	108	108	108
109	109	109	109
110	110	110	110
111	111	111	111
112	112	112	112
113	113	113	113
114	113	113	113
115	114	114	114
116	115	115	115
117	116	116	116
118	117	117	117
119	118	118	118
120	119	119	119
121	119	119	119
122	120	120	120
123	121	121	121
124	122	122	122
125	123	123	123
126	124	124	124
127	125	125	125
128	126	126	126
129	127	127	127
130	128	128	128
131	129	129	129
132	130	130	130
133	132	132	132
134	133	133	133
135	134	134	134
136	135	135	135
137	136	136	136
138	137	137	137
139	138	138	138
140	139	139	139
141	140	140	140
142	141	141	141
143	142	142	142
144	143	143	143
145	144	144	144
146	145	145	145
147	146	146	146
148	147	147	147
149	148	148	148
150	150	150	150
151	151	151	151
152	152	152	152
153	153	153	153
154	154	154	154
155	155	155	155
156	156	156	156
157	157	157	157
158	158	158	158
159	159	159	159
160	160	160	160
161	161	161	161
162	162	162	162
163	163	163	163
164	164	164	164
165	166	166	166
166	167	167	167
167	168	168	168
168	169	169	169
169	170	170	170
170	171	171	171
171	172	172	172
172	173	173	173
173	174	174	174
174	175	175	175
175	176	176	176
176	177	177	177
177	179	179	179
178	180	180	180
179	181	181	181
180	182	182	182
181	184	184	184
182	185	185	185
183	186	186	186
184	188	188	188
185	189	189	189
186	191	191	191
187	193	193	193
188	195	195	195
189	196	196	196
190	197	197	197
191	199	199	199
192	200	200	200
193	202	202	202
194	203	203	203
195	204	204	204
196	205	205	205
197	206	206	206
198	207	207	207
199	208	208	208
200	209	209	209
201	210	210	210
202	211	211	211
203	212	212	212
204	213	213	213
205	214	214	214
206	215	215	215
207	217	217	217
208	218	218	218
209	219	219	219
210	220	220	220
211	221	221	221
212	222	222	222
213	223	223	223
214	224	224	224
215	225	225	225
216	226	226	226
217	226	226	226
218	227	227	227
219	228	228	228
220	229	229	229
221	230	230	230
222	230	230	230
223	231	231	231
224	232	232	232
225	233	233	233
226	233	233	233
227	234	234	234
228	235	235	235
229	236	236	236
230	237	237	237
231	238	238	238
232	238	238	238
233	239	239	239
234	240	240	240
235	241	241	241
236	241	241	241
237	241	241	241
238	242	242	242
239	242	242	242
240	243	243	243
241	243	243	243
242	244	244	244
243	245	245	245
244	245	245	245
245	246	246	246
246	247	247	247
247	247	247	247
248	248	248	248
249	249	249	249
250	250	250	250
251	251	251	251
252	252	252	252
253	253	253	253
254	253	253	253
255	255	255	255
